subject,condition,gameName,levels_won,steps,score,time
human,no_score,expt_preconditions,0,10.0,-3.0,6.5969009399414062
human,no_score,expt_preconditions,0,40.0,99.0,17.53182315826416
human,no_score,expt_preconditions,0,23.0,1.0,17.13870096206665
human,no_score,expt_preconditions,1,23.0,104.0,7.9174869060516357
human,no_score,expt_preconditions,1,30.0,37.0,57.438252925872803
human,no_score,expt_preconditions,1,0.0,102.0,18.732325792312622
human,no_score,expt_preconditions,0,18.0,1.0,9.2642948627471924
human,no_score,expt_preconditions,0,58.0,8.0,27.552360057830811
human,no_score,expt_preconditions,0,55.0,4.0,27.008179187774658
human,no_score,expt_preconditions,2,41.0,13.0,58.362411022186279
human,no_score,expt_preconditions,2,0.0,-2.0,10.274965047836304
human,no_score,expt_preconditions,2,0.0,-1.0,14.873295068740845
human,no_score,expt_preconditions,2,0.0,0.0,4.7207739353179932
human,no_score,expt_preconditions,3,0.0,100.0,4.7063698768615723
human,no_score,expt_preconditions,3,4.0,-2.0,6.5486009120941162
human,no_score,expt_preconditions,3,0.0,0.0,4.8441369533538818
human,no_score,expt_preconditions,4,0.0,-1.0,26.900654792785645
human,no_score,expt_preconditions,0,1.0,-4.0,3.0002288818359375
human,no_score,expt_preconditions,0,0.0,101.0,33.139130830764771
human,no_score,expt_preconditions,0,0.0,0.0,3.0199100971221924
human,no_score,expt_preconditions,0,0.0,97.0,33.13550591468811
human,no_score,expt_preconditions,1,0.0,6.0,9.4248969554901123
human,no_score,expt_preconditions,1,0.0,-3.0,18.334933996200562
