subject,condition,gameName,levels_won,steps,score
B1CoeQFU-,no_score,gvgai_butterflies,0,1,0
B1CoeQFU-,no_score,gvgai_butterflies,0,0,0
B1CoeQFU-,no_score,gvgai_butterflies,0,2,0
B1CoeQFU-,no_score,gvgai_butterflies,0,9,0
B1CoeQFU-,no_score,gvgai_butterflies,0,16,0
B1CoeQFU-,no_score,gvgai_butterflies,0,21,2
B1CoeQFU-,no_score,gvgai_butterflies,0,5,0
B1CoeQFU-,no_score,gvgai_butterflies,0,21,2
B1CoeQFU-,no_score,gvgai_butterflies,0,1,0
B1CoeQFU-,no_score,gvgai_butterflies,0,6,2
B1CoeQFU-,no_score,gvgai_butterflies,0,18,2
B1CoeQFU-,no_score,gvgai_butterflies,0,31,12
B1CoeQFU-,no_score,gvgai_butterflies,1,33,14
B1CoeQFU-,no_score,gvgai_butterflies,1,18,10
B1CoeQFU-,no_score,gvgai_butterflies,1,42,18
B1CoeQFU-,no_score,gvgai_butterflies,1,83,30
B1CoeQFU-,no_score,gvgai_butterflies,1,59,22
B1CoeQFU-,no_score,gvgai_butterflies,1,74,28
B1CoeQFU-,no_score,gvgai_butterflies,1,6,4
B1CoeQFU-,no_score,gvgai_butterflies,1,106,32
B1CoeQFU-,no_score,gvgai_butterflies,1,32,14
B1CoeQFU-,no_score,gvgai_butterflies,1,51,20
B1CoeQFU-,no_score,gvgai_butterflies,1,93,32
B1CoeQFU-,no_score,gvgai_butterflies,2,116,34
B1CoeQFU-,no_score,gvgai_butterflies,2,9,2
B1CoeQFU-,no_score,gvgai_butterflies,2,21,10
B1CoeQFU-,no_score,gvgai_butterflies,2,48,32
B1CoeQFU-,no_score,gvgai_butterflies,2,35,24
B1CoeQFU-,no_score,gvgai_butterflies,2,64,42
B1CoeQFU-,no_score,gvgai_butterflies,3,73,48
B1CoeQFU-,no_score,gvgai_butterflies,3,49,16
B1CoeQFU-,no_score,gvgai_butterflies,4,89,22
B1CoeQFU-,no_score,gvgai_butterflies,4,38,14
B1CoeQFU-,no_score,gvgai_butterflies,4,78,18
B1CoeQFU-,no_score,gvgai_butterflies,4,12,2
B1CoeQFU-,no_score,gvgai_butterflies,4,25,8
B1CoeQFU-,no_score,gvgai_butterflies,4,65,16
B1CoeQFU-,no_score,gvgai_butterflies,4,23,0
B1CoeQFU-,no_score,gvgai_butterflies,5,39,14
B1CoeQFU-,no_score,gvgai_butterflies,5,4,0
B1CoeQFU-,no_score,gvgai_butterflies,5,36,12
B1CoeQFU-,no_score,gvgai_butterflies,5,10,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,15,300
B1CoeQFU-,no_score,gvgai_boulderdash,0,8,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,3,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,19,900
B1CoeQFU-,no_score,gvgai_boulderdash,0,16,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,19,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,2,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,7,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,15,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,20,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,36,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,36,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,25,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,31,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,5,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,15,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,36,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,45,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,20,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,4,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,14,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,23,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,8,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,17,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,13,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,33,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,10,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,29,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,2,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,19,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,51,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,64,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,72,0
B1CoeQFU-,no_score,gvgai_boulderdash,0,43,0
